Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur
Ilsa Siombing,320049604034741000,Jayapura,02/09/1981,Karyawan,Rp 4.300.000,3,0,1,1,0,0,4300000,43
Legawa Permadi,320050735767251000,Lampung,03/07/1967,Wiraswasta,Rp 1.000.000,7,1,2,2,1,1,1000000,58
Mnrima Suartini,320078328765266000,Manokwari,08/06/1965,Wiraswasta,Rp 1.500.000,3,0,0,0,1,2,1500000,60
Cut Novi Saptono,320087813667407000,Bengkulu,03/12/1978,Tidak Bekerja,Rp 0,5,1,0,0,2,1,0,46
Lemba Siombing,320094550145753000,Makassar,17/04/2000,Tidak Bekerja,Rp 0,4,1,0,1,2,0,0,25
Enda Aryanti,320009660142262000,Medan,09/01/1964,Wiraswasta,Rp 500.000,5,1,1,0,2,0,500000,61
Paulin Putra,320062744180087000,Sorong,15/01/1982,Buruh,Rp 2.500.000,5,1,1,1,2,0,2500000,43
Amalia Laksmiwati,320045984187504000,Semarang,09/10/1993,Petani,Rp 500.000,9,1,2,2,1,2,500000,31
Purwadi Usada,320035866934815000,Padang,17/03/2000,Wiraswasta,Rp 500.000,6,1,1,1,1,2,500000,25
Unggul Utami,320019547234012000,Bengkulu,30/11/1991,Wiraswasta,Rp 1.500.000,2,0,0,1,0,1,1500000,33
Arsanto Januar,320022505036585000,Pontianak,12/11/1969,Petani,Rp 1.000.000,7,0,0,2,2,2,1000000,55
Marsito Mangunsong,320085230359257000,Manado,20/04/1984,Petani,Rp 1.500.000,3,0,0,2,0,1,1500000,41
Safina Putra,320099409048745000,Palembang,21/12/1990,Tidak Bekerja,Rp 0,6,1,2,0,1,2,0,34
Jasmin Pradipta,320077403889945000,Surabaya,04/01/1968,Wiraswasta,Rp 1.000.000,7,1,2,1,2,1,1000000,57
Martani Dongoran,320077008216183000,Jambi,30/06/1996,Petani,Rp 2.000.000,8,1,3,1,1,2,2000000,29
Unjani Mandala,320057290214152000,Medan,20/11/1973,Tidak Bekerja,Rp 0,2,0,0,2,0,0,0,51
Tgkjuli Wijaya,320072541284092000,Bekasi,15/11/1973,Wiraswasta,Rp 1.000.000,5,1,1,2,0,1,1000000,51
Pangestu Suryatmi,320026266721062000,Palangka Raya,14/09/1977,Wiraswasta,Rp 2.000.000,6,1,1,0,2,1,2000000,47
Endra Wulandari.,320057178375065000,Yogyakarta,21/06/1959,Karyawan,Rp 800.000,7,0,2,2,2,1,800000,66
Sabrina Saragi,320035649572331000,Samarinda,26/11/1970,Buruh,Rp 900.000,8,1,3,0,2,1,900000,54
Banawa Astuti,320087389669157000,Sorong,21/03/1984,Wiraswasta,Rp 1.000.000,5,0,2,1,0,1,1000000,41
Safina Astuti,320083705513822000,Balikpapan,20/02/1977,Petani,Rp 1.500.000,5,0,1,1,1,1,1500000,48
Ajiman Nugroo,320049837061632000,Pontianak,27/03/1981,Petani,Rp 500.000,7,0,1,2,2,1,500000,44
Jarwa Pratiwi,320065869937573000,Kendari,04/03/1960,Petani,Rp 500.000,10,1,3,2,2,1,500000,65
Kanda Adriansya,320017408156699000,Jayapura,02/03/1993,Karyawan,Rp 2.000.000,3,0,0,0,2,0,2000000,32
Gambira Farida,320052370281350000,Medan,02/05/1982,Tidak Bekerja,Rp 0,8,0,3,2,0,2,0,43
Arsanto Laksita,320052852148984000,Padang,15/05/1998,Wiraswasta,Rp 500.000,3,0,1,1,0,1,500000,27
Gambira Palastri,320046600810610000,Merauke,27/05/1959,Karyawan,Rp 500.000,6,0,1,2,2,0,500000,66
Mariadi Wacana,320027224136088000,Palu,14/08/1979,Karyawan,Rp 1.000.000,4,1,1,0,1,1,1000000,45
Latif Wacana,320007738011195000,Merauke,09/08/1972,Wiraswasta,Rp 2.000.000,4,0,0,1,2,1,2000000,52
Jagapati Wibowo,320006039973669000,Pontianak,08/07/1984,Wiraswasta,Rp 500.000,5,0,2,2,0,1,500000,40
Rella Nainggolan,320070870354251000,Manokwari,14/10/1996,Tidak Bekerja,Rp 0,4,0,3,0,0,1,0,28
Dian Mardiya,320015352384530000,Manokwari,09/09/1971,Tidak Bekerja,Rp 0,5,1,0,2,1,1,0,53
Darmana Ariya,320042124803182000,Manado,21/12/1956,Petani,Rp 500.000,4,0,2,0,0,2,500000,68
Latif Siotang,320079848360827000,Bandung,15/11/1989,Buruh,Rp 700.000,1,1,0,0,0,0,700000,35
Irwan Maendra,320008966202404000,Palembang,21/01/1986,Buruh,Rp 500.000,5,0,2,1,1,1,500000,39
Cintia Prayoga,320027910856249000,Bengkulu,27/08/1970,Karyawan,Rp 1.000.000,5,1,2,1,1,0,1000000,54
Pandu Purnawati,320010583527179000,Padang,12/01/1958,Tidak Bekerja,Rp 0,7,0,3,0,2,2,0,67
Rati Zulkarnain,320007492232554000,Pekanbaru,26/03/1991,Petani,Rp 1.500.000,3,0,0,1,2,0,1500000,34
Tgkbakiono Prasetya,320054422436190000,Lampung,25/06/1989,Buruh,Rp 1.500.000,9,0,3,2,1,2,1500000,36
Puti Ika Ariya,320010370991564000,Bandung,21/03/1988,Wiraswasta,Rp 500.000,9,1,2,2,2,1,500000,37
Ari Idayanto,320010133994098000,Palembang,10/12/1973,Petani,Rp 1.500.000,6,0,3,0,1,1,1500000,51
Cut Jessica Raayu,320020909455178000,Palembang,19/05/1976,Wiraswasta,Rp 1.000.000,5,1,3,1,0,0,1000000,49
Irnanto Andayani,320033670142312000,Pontianak,13/04/1966,Petani,Rp 1.500.000,6,1,2,2,0,1,1500000,59
Nalar Nuraini,320081799533775000,Banjarmasin,03/08/1999,Wiraswasta,Rp 2.000.000,3,0,1,1,1,0,2000000,25
Jasmin Budiyanto,320043521058218000,Sorong,15/04/1982,Tidak Bekerja,Rp 0,2,0,1,0,0,1,0,43
Fitria Abibi,320072065235688000,Bengkulu,25/06/1993,Tidak Bekerja,Rp 0,8,1,3,2,1,0,0,32
Cindy Putra,320078455366713000,Manokwari,15/01/2000,Buruh,Rp 4.000.000,5,1,1,1,1,1,4000000,25
Aurora Budiman,320014410422014000,Samarinda,08/12/1976,Karyawan,Rp 1.500.000,6,0,2,0,2,2,1500000,48
Vivi Assana,320038680639337000,Jayapura,15/01/1978,Tidak Bekerja,Rp 0,1,0,0,0,0,0,0,47
Amima Firmansya,320063973054937000,Banjarmasin,27/10/1983,Tidak Bekerja,Rp 0,7,1,2,0,2,2,0,41
Ellis Yulianti,320055535750033000,Manado,18/06/1975,Petani,Rp 1.000.000,5,1,2,1,0,1,1000000,50
Jagaraga Ramawati,320030873889130000,Medan,30/03/2025,Wiraswasta,Rp 5.000.000,3,0,0,0,0,2,5000000,0
Umay Akim,320081869275888000,Sorong,27/01/2025,Buruh,Rp 1.500.000,6,1,0,2,1,1,1500000,0
Umay Wastuti,320070114227297000,Pekanbaru,20/06/2025,Petani,Rp 1.500.000,7,1,2,0,1,2,1500000,0
Ella Simbolon,320011678823410000,Pontianak,14/12/2025,Tidak Bekerja,Rp 0,7,1,1,2,1,1,0,-1
Sari Astuti,320081072742902000,Kendari,26/08/2025,Karyawan,Rp 2.000.000,7,1,1,2,2,0,2000000,-1
